# Residuals   
# Time        	p             	Ux            	Uy            
31.6          	4.548541e-02	9.896682e-04	7.206805e-04
31.7          	4.659797e-02	9.451282e-04	7.245395e-04
31.8          	4.421153e-02	9.810381e-04	7.110633e-04
31.9          	4.525909e-02	9.376373e-04	7.144707e-04
32            	4.298531e-02	9.725271e-04	7.016649e-04
32.1          	4.397246e-02	9.302232e-04	7.046525e-04
32.2          	4.180519e-02	9.641292e-04	6.924710e-04
32.3          	4.273597e-02	9.228864e-04	6.950886e-04
32.4          	4.067413e-02	9.558394e-04	6.834915e-04
32.5          	4.155273e-02	9.156211e-04	6.857808e-04
32.6          	3.957382e-02	9.476549e-04	6.747075e-04
32.7          	3.881408e-02	9.073346e-04	6.729522e-04
32.8          	3.656205e-02	9.344953e-04	6.636698e-04
32.9          	3.675509e-02	9.030800e-04	6.603586e-04
33            	3.651469e-02	9.261570e-04	6.552171e-04
33.1          	3.722865e-02	8.948143e-04	6.538661e-04
33.2          	3.576589e-02	9.216640e-04	6.476381e-04
33.3          	3.641566e-02	8.881096e-04	6.464924e-04
33.4          	3.502396e-02	9.143072e-04	6.400030e-04
33.5          	3.565552e-02	8.808753e-04	6.392394e-04
33.6          	3.424214e-02	9.070713e-04	6.324003e-04
33.7          	3.483900e-02	8.739222e-04	6.319478e-04
33.8          	3.346370e-02	8.997970e-04	6.248467e-04
33.9          	3.269794e-02	8.661323e-04	6.218469e-04
34            	3.099820e-02	8.883301e-04	6.157907e-04
34.1          	3.109643e-02	8.616903e-04	6.116426e-04
34.2          	3.106078e-02	8.805598e-04	6.083086e-04
34.3          	3.159567e-02	8.537123e-04	6.057154e-04
34.4          	3.054454e-02	8.758557e-04	6.014080e-04
34.5          	3.102708e-02	8.464248e-04	5.990758e-04
34.6          	3.006233e-02	8.676433e-04	5.943615e-04
34.7          	3.040121e-02	8.393602e-04	5.929611e-04
34.8          	2.927966e-02	8.633969e-04	5.880872e-04
34.9          	2.849587e-02	8.349335e-04	5.845990e-04
35            	2.709875e-02	8.546497e-04	5.803621e-04
35.1          	2.710736e-02	8.321116e-04	5.759621e-04
35.2          	2.618027e-02	8.486728e-04	5.731143e-04
35.3          	2.622275e-02	8.281676e-04	5.686705e-04
35.4          	2.630637e-02	8.442485e-04	5.670147e-04
35.5          	2.658411e-02	8.240625e-04	5.638412e-04
35.6          	2.580038e-02	8.456622e-04	5.616768e-04
35.7          	2.580095e-02	8.277378e-04	5.595731e-04
35.8          	2.487727e-02	8.564873e-04	5.573783e-04
35.9          	2.516693e-02	8.294325e-04	5.541724e-04
36            	2.467762e-02	8.366182e-04	5.495638e-04
36.1          	2.422255e-02	8.044891e-04	5.447543e-04
36.2          	2.326952e-02	8.150933e-04	5.416101e-04
36.3          	2.333997e-02	7.926159e-04	5.366645e-04
